exam|choice
"Which set of access control entries would allow all users on the 192.168.10.0/24 network to access a web server that is located at 172.17.80.1, but would not allow them to use Telnet?"|"access-list 103 permit tcp 192.168.10.0 0.0.0.255 host 172.17.80.1 eq 80 access-list 103 deny tcp 192.168.10.0 0.0.0.255 any eq 23"
"What is the term used to describe a mechanism that takes advantage of a vulnerability?"|"exploit"
"A technician is tasked with using ACLs to secure a router. When would the technician use the any configuration option or command?"|"to identify any IP address"
"Which statement accurately characterizes the evolution of threats to network security?"|"Internal threats can cause even greater damage than external threats."
"A user receives a phone call from a person who claims to represent IT services and then asks that user for confirmation of username and password for auditing purposes. Which security threat does this phone call represent?"|"social engineering"
"In what way are zombies used in security attacks?"|"They are infected machines that carry out a DDoS attack."
"Which attack involves threat actors positioning themselves between a source and destination with the intent of transparently monitoring, capturing, and controlling the communication?"|"man-in-the-middle attack"
"Which two keywords can be used in an access control list to replace a wildcard mask or address and wildcard mask pair? (Choose two.)"|"host","any"
"Which statement describes a difference between the operation of inbound and outbound ACLs?"|"Inbound ACLs are processed before the packets are routed while outbound ACLs are processed after the routing is completed."
"What effect would the Router1(config-ext-nacl)# permit tcp 172.16.4.0 0.0.0.255 any eq www command have when implemented inbound on the f0/0 interface?"|"Traffic originating from 172.16.4.0/24 is permitted to all TCP port 80 destinations."
"Which ACE will permit a packet that originates from any network and is destined for a web server at 192.168.1.1?"|"access-list 101 permit tcp any host 192.168.1.1 eq 80"
"A technician is tasked with using ACLs to secure a router. When would the technician use the access-class 20 in configuration option or command?"|"to secure administrative access to the router"
"What is the term used to describe the same pre-shared key or secret key, known by both the sender and receiver to encrypt and decrypt data?"|"symmetric encryption algorithm"
"A technician is tasked with using ACLs to secure a router. When would the technician use the ‘ip access-group 101 in’ configuration option or command?"|"to apply an extended ACL to an interface"
"In which type of attack is falsified information used to redirect users to malicious Internet sites?"|"DNS cache poisoning"
"What is a feature of an IPS?"|"It can stop malicious packets."
"What is the term used to describe a potential danger to a company’s assets, data, or network functionality?"|"threat"
"What does the CLI prompt change to after entering the command ip access-list standard aaa from global configuration mode?"|"Router(config-std-nacl)#"
"A technician is tasked with using ACLs to secure a router. When would the technician use the 40 deny host 192.168.23.8 configuration option or command?"|"to create an entry in a numbered ACL"
"Which two statements accurately describe an advantage or a disadvantage when deploying NAT for IPv4 in a network? (Choose two.)"|"NAT provides a solution to slow down the IPv4 address depletion.","NAT introduces problems for some applications that require end-to-end connectivity."
"A network administrator wants to examine the active NAT translations on a border router. Which command would perform the task?"|"Router# show ip nat translations"
"What are two tasks to perform when configuring static NAT? (Choose two.)"|"Create a mapping between the inside local and outside local addresses.","Identify the participating interfaces as inside or outside interfaces."
"What is a disadvantage of NAT?"|"There is no end-to-end addressing."
"What is the purpose of the overload keyword in the ip nat inside source list 1 pool NAT_POOL overload command?"|"It allows many inside hosts to share one or a few inside global addresses."
"Which situation describes data transmissions over a WAN connection?"|"An employee shares a database file with a co-worker who is located in a branch office on the other side of the city."
"Which two technologies are categorized as private WAN infrastructures? (Choose two.)"|"Frame Relay","MetroE"
"Which network scenario will require the use of a WAN?"|"Employees need to connect to the corporate email server through a VPN while traveling."
"What are two hashing algorithms used with IPsec AH to guarantee authenticity? (Choose two.)"|"SHA","MD5"
"What two algorithms can be part of an IPsec policy to provide encryption and hashing to protect interesting traffic? (Choose two.)"|"SHA","AES"
"Which VPN solution allows the use of a web browser to establish a secure, remote-access VPN tunnel to the ASA?"|"clientless SSL"
"Which IPsec security function provides assurance that the data received via a VPN has not been modified in transit?"|"integrity"
"Which two types of VPNs are examples of enterprise-managed remote access VPNs? (Choose two.)"|"clientless SSL VPN","client-based IPsec VPN"
"Which is a requirement of a site-to-site VPN?"|"It requires a VPN gateway at each end of the tunnel to encrypt and decrypt traffic."
"What is the function of the Diffie-Hellman algorithm within the IPsec framework?"|"allows peers to exchange shared keys"
"What does NAT overloading use to track multiple internal hosts that use one inside global address?"|"port numbers"
"Which two WAN infrastructure services are examples of private connections? (Choose two.)"|"Frame Relay","T1/E1"
"Which two statements about the relationship between LANs and WANs are true? (Choose two.)"|"WANs are typically operated through multiple ISPs, but LANs are typically operated by single organizations or individuals.","WANs connect LANs at slower speed bandwidth than LANs connect their internal end devices."
"Which statement describes an important characteristic of a site-to-site VPN?"|"It must be statically set up."
"How is “tunneling” accomplished in a VPN?"|"New headers from one or more VPN protocols encapsulate the original packets."
"Which statement describes a VPN?"|"VPNs use virtual connections to create a private network through a public network."
"What type of address is 64.100.190.189?"|"public"
"Which type of VPN routes packets through virtual tunnel interfaces for encryption and forwarding?"|"IPsec virtual tunnel interface"
"In NAT terms, what address type refers to the globally routable IPv4 address of a destination host on the Internet?"|"outside global"
"Which circumstance would result in an enterprise deciding to implement a corporate WAN?"|"when its employees become distributed across many branch locations"
"What is the function of the Hashed Message Authentication Code (HMAC) algorithm in setting up an IPsec VPN?"|"guarantees message integrity"
"What algorithm is used with IPsec to provide data confidentiality?"|"AES"
"Which two technologies provide enterprise-managed VPN solutions? (Choose two.)"|"remote access VPN","site-to-site VPN"
"What type of address is 10.100.126.126?"|"private"
"Which type of VPN connects using the Transport Layer Security (TLS) feature?"|"SSL VPN"
"What is the term used to indicate a variation of delay?"|"jitter","software as a service (SaaS)"
"A network engineer performs a ping test and receives a value that shows the time it takes for a packet to travel from a source to a destination device and return. Which term describes the value?"|"latency","There are significant data exchanges between virtual servers."
"What role do network devices play in the IntServ QoS model?"|"Network devices ensure that resources are available before traffic is allowed to be sent by a host through the network.","control plane"
"Which device would be classified as a trusted endpoint?"|"IP phone","OpenFlow"
"What is the benefit of deploying Layer 3 QoS marking across an enterprise network?"|"Layer 3 marking can carry the QoS information end-to-end.","Type 1"
"What is the function of a QoS trust boundary?"|"A trust boundary identifies which devices trust the marking on packets that enter a network.","installed directly on a server"
"What are two approaches to prevent packet loss due to congestion on an interface? (Choose two.)"|"Drop lower-priority packets.","Increase link capacity.","Layer 2","Layer 3"
"What configuration scenario would offer the most protection to SNMP get and set messages?"|"SNMPv3 configured with the auth security level","the routing table"
"The command ntp server 10.1.1.1 is issued on a router. What impact does this command have?"|"synchronizes the system clock with the time source with IP address 10.1.1.1","forwarding traffic flows"
"As the network administrator you have been asked to implement EtherChannel on the corporate network. What does this configuration consist of?"|"grouping multiple physical ports to increase bandwidth between two switches","separation of application from hardware"
"What is a definition of a two-tier LAN network design?"|"distribution and core layers collapsed into one tier, and the access layer on a separate tier","a private cloud"
"What are two reasons to create a network baseline? (Choose two.)"|"to identify future abnormal network behavior","to determine if the network can deliver the required policies","provides a “pay-as-you-go” model, allowing organizations to treat computing and storage expenses as a utility","enables rapid responses to increasing data volume requirements"
"A computer can access devices on the same network but cannot access devices on other networks. What is the probable cause of this problem?"|"The computer has an invalid default gateway address.","type 2"
"In which step of gathering symptoms does the network engineer determine if the problem is at the core, distribution, or access layer of the network?"|"Narrow the scope.","The company only needs to pay for the amount of processing and storage capacity that it uses.","The company does not need to be concerned about how to handle increasing data storage and processing demands with in-house data center equipment.","The company can increase processing and storage capacity as needed and then decrease capacity when it is no longer needed."
"A network administrator is deploying QoS with the ability to provide a special queue for voice traffic so that voice traffic is forwarded before network traffic in other queues. Which queuing method would be the best choice?"|"LLQ","support of live migration"
"What are two characteristics of voice traffic? (Choose two.)"|"Voice traffic latency should not exceed 150 ms.","Dropped voice packets are not retransmitted.","Cloud computing"
"Which type of network traffic cannot be managed using congestion avoidance tools?"|"UDP","verification and corrective action"
"When QoS is implemented in a converged network, which two factors can be controlled to improve network performance for real-time traffic? (Choose two.)"|"delay","jitter","It is used to authenticate the requesting source."
"An administrator wants to replace the configuration file on a Cisco router by loading a new configuration file from a TFTP server. What two things does the administrator need to know before performing this task? (Choose two.)"|"name of the configuration file that is stored on the TFTP server","TFTP server IP address","Puppet","Chef"
"What are three functions provided by the syslog service? (Choose three.)"|"to select the type of logging information that is captured","to gather logging information for monitoring and troubleshooting","to specify the destinations of captured messages","Manifest"
"What is the function of the MIB element as part of a network management system?"|"to store data about a device","Pillar"
"What network design would contain the scope of disruptions on a network should a failure occur?"|"the deployment of distribution layer switches in pairs and the division of access layer switch connections between them","It can be used with no restrictions."
"Which action should be taken when planning for redundancy on a hierarchical network design?"|"add alternate physical paths for data to traverse the network","It is a data format and superset of JSON."
"What are two benefits of extending access layer connectivity to users through a wireless medium? (Choose two.)"|"increased flexibility","reduced costs","read"
"What is a basic function of the Cisco Borderless Architecture access layer?"|"provides access to the user","SDN"
"Which characteristic would most influence a network design engineer to select a multilayer switch over a Layer 2 switch?"|"ability to build a routing table","to manage virtual machines","to allocate physical system resources to virtual machines"
"When is the most appropriate time to measure network operations to establish a network performance baseline?"|"at the same time each day across a set period of average working days, so that typical traffic patterns can be established","Cloud computing separates the application from the hardware whereas virtualization separates the OS from the underlying hardware."
"What type of traffic is described as requiring latency to be no more than 150 milliseconds (ms)?"|"voice","It uses indentations."
"A network manager wants to add a time to log messages so that there is record of when the message was generated. What command should the administrator use on a Cisco router?"|"service timestamps log datetime","REST"
"What are two characteristics of the best-effort QoS model? (Choose two.)"|"It does not provide a delivery guarantee for packets.","It treats all network packets in the same way.","It is an architecture style for designing web service applications."
"Why is QoS an important issue in a converged network that combines voice, video, and data communications?"|"Voice and video communications are more sensitive to latency.","XML does not use predefined tags whereas HTML does use predefined tags."
"A network administrator configures a router with the command sequence:<prompt>R1(config)# boot system tftp://c1900-universalk9-mz.SPA.152-4.M3.bin</br>R1(config)# boot system rom</br>What is the effect of the command sequence?</prompt>"|"The router will load IOS from the TFTP server. If the image fails to load, it will load the IOS image from ROM.","virtualization"
"Which statement describes SNMP operation?"|"A set request is used by the NMS to change configuration variables in the agent device.","infrastructure as a service (IaaS)"
"What are the three layers of the switch hierarchical design model? (Choose three.)"|"distribution","access","core","the Application Policy Infrastructure Controller"
"A network designer is considering whether to implement a switch block on the company network. What is the primary advantage of deploying a switch block?"|"The failure of a switch block will not impact all end users.","separation of application from hardware"
"Which troubleshooting tool would a network administrator use to check the Layer 2 header of frames that are leaving a particular host?"|"protocol analyzer","a vacation service site interacting with hotel databases to display information from all the hotels on its web site"
"What type of traffic is described as not resilient to loss?"|"video","dedicated servers"
"A network manager wants lists the contents of flash. What command should the administrator use on a Cisco router?"|"dir"
